,mean,median
Renault Duster,1175947.905222437,1255200.0
Lada 4x4,424554.75239923224,418000.0
Lada Granta,459319.97352941177,435000.0
Datsun on-DO,414979.3823529412,400500.0
KIA Rio,825655.2847222222,870000.0
Hyundai Solaris,747420.6857142857,695000.0
Renault Logan,679219.9094339623,645017.0
Toyota Camry,1739079.4165232359,1370000.0
VW Polo,985698.0215517242,1099550.0
Hyundai Creta,1333856.4054054054,1345000.0
Lada Vesta,780466.2274881516,793000.0
Lada X-Ray,756732.1875,745000.0
Mazda CX-5,2563152.9411764704,2754000.0
KIA Sportage,1402510.617816092,1585000.0
Skoda Rapid,1073149.9567901234,1178405.0
VW Tiguan,1673664.866367713,1943800.0
Toyota RAV 4,1618596.1839378239,1523500.0
Renault Kaptur,1473066.4666666666,1471000.0
Chevrolet NIVA,365651.16279069765,339000.0
Lada Largus,709822.8571428572,750000.0
Skoda Octavia A7,967922.1960784313,939500.0
Nissan Qashqai,1220845.227436823,1548000.0
Renault Sandero,913820.3821656051,979000.0
Lada Kalina,303968.25396825396,270000.0
Nissan X-Trail,1458975.1068376068,1407000.0
